1591523181285605377;2022-11-12 20:07:50+00:00;Bad driver of N82537 in MA #Belmont #BelmontMA #Massachusetts #MassRMV #baddriver #N82537 #MA #baddrivers #licenseplate #licenseplatesearch #findbyplate #car #vehicle https://t.co/x3GGzEq68i https://t.co/S515RwWMRL;findbyplate;['Belmont', 'BelmontMA', 'Massachusetts', 'MassRMV', 'baddriver', 'N82537', 'MA', 'baddrivers', 'licenseplate', 'licenseplatesearch', 'findbyplate', 'car', 'vehicle'];United States;73;0;0;989610372087726080;FALSE;FindbyPlate.com
1591522643382919168;2022-11-12 20:05:41+00:00;Bad driver of 2906234 in NH #Belmont #BelmontMA #Massachusetts #Speeding #NewHampshire #2906234 #NH #baddriver #baddrivers #licenseplate #licenseplatesearch #findbyplate #car #vehicle https://t.co/WWg8pbj2b4 https://t.co/d5RS2jqFqu;findbyplate;['Belmont', 'BelmontMA', 'Massachusetts', 'Speeding', 'NewHampshire', 'NH', 'baddriver', 'baddrivers', 'licenseplate', 'licenseplatesearch', 'findbyplate', 'car', 'vehicle'];United States;73;0;0;989610372087726080;FALSE;FindbyPlate.com
1591521883144323072;2022-11-12 20:02:40+00:00;Bad driver of H93627 in MA #Belmont #BelmontMA #Massachusetts #MassRMV #speeding #H93627 #MA #baddriver #baddrivers #licenseplate #licenseplatesearch #findbyplate #car #vehicle https://t.co/PaoSAA3WsJ https://t.co/Uecz9yOrDC;findbyplate;['Belmont', 'BelmontMA', 'Massachusetts', 'MassRMV', 'speeding', 'H93627', 'MA', 'baddriver', 'baddrivers', 'licenseplate', 'licenseplatesearch', 'findbyplate', 'car', 'vehicle'];United States;73;0;0;989610372087726080;FALSE;FindbyPlate.com
1591521156749676544;2022-11-12 19:59:47+00:00;Bad driver of 213S70 in Lexington MA #Lexington #LexingtonMA #Massachusetts #MassRMV #baddriver #213S70 #MA #baddrivers #licenseplate #licenseplatesearch #findbyplate #car #vehicle https://t.co/G95v0uRLqu https://t.co/ZOSQJDlZko;findbyplate;['Lexington', 'LexingtonMA', 'Massachusetts', 'MassRMV', 'baddriver', '213S70', 'MA', 'baddrivers', 'licenseplate', 'licenseplatesearch', 'findbyplate', 'car', 'vehicle'];United States;73;0;0;989610372087726080;FALSE;FindbyPlate.com
1591520304827727873;2022-11-12 19:56:24+00:00;Bad driver of LVA4998 in Waltham MA #Waltham #WalthamMA #Massachusetts #MassRMV #MassLivery #baddriver #LVA4998 #MA #baddrivers #licenseplate #licenseplatesearch #findbyplate #car #vehicle https://t.co/hAV3qneFjm https://t.co/qjMxS0Tk5p;findbyplate;['Waltham', 'WalthamMA', 'Massachusetts', 'MassRMV', 'MassLivery', 'baddriver', 'LVA4998', 'MA', 'baddrivers', 'licenseplate', 'licenseplatesearch', 'findbyplate', 'car', 'vehicle'];United States;73;0;0;989610372087726080;FALSE;FindbyPlate.com
1591498105702453249;2022-11-12 18:28:11+00:00;I am sick and tired of selfish and obtuse drivers who don’t pay attention to how their driving affects others. Including those who drive below  speed limit with dozens of cars stacking up behind them. Amazing how many drive like they are alone on roads. Be better. #baddrivers;davemchugh;['baddrivers'];Hunt Valley, MD;2056;1;1;22396689;FALSE;Twitter for iPhone
1591187648508755968;2022-11-11 21:54:32+00:00;If anyone knows the person who drives a blue VW Astro with the Ontario vanity plate “ZILLYWIN”, please ask them to stop driving like an aggressive putz before they kill someone. Thanks! #Baddrivers;quintew_avenger;['Baddrivers'];Quinte West;165;1;1;240027541;FALSE;Twitter for iPhone
1591174013052944384;2022-11-11 21:00:21+00:00;People in the #pickup line at #schools are the #dumbest breeds of #baddrivers dude on the left has a WHOLE car length to pull up but is too dumb to realize it apparently! https://t.co/dTkHsEUwsC;Ancestorology;['pickup', 'schools', 'dumbest', 'baddrivers'];Kansas City, MO;566;0;0;36498652;FALSE;Twitter for Android
1591113523995738119;2022-11-11 17:00:00+00:00;"https://t.co/ibwUVP2sVO ~ Time for that #FridayFeeling - UK Dash Cam Compilation 117 - Bad Drivers &amp; Observations is now live on our #YouTube #channel ~ #SubscribeNow so you don’t miss a thing! ~ #dashcam #dashcamera #baddrivers #baddriving #dashcamvideos #dashcams #baddriver https://t.co/eNZxcKFVT1";GadgetMeisterUK;['FridayFeeling', 'YouTube', 'channel', 'SubscribeNow', 'dashcam', 'dashcamera', 'baddrivers', 'baddriving', 'dashcamvideos', 'dashcams', 'baddriver'];United Kingdom;92;1;2;38882773;FALSE;Twitter Web App
1591074005884473344;2022-11-11 14:22:58+00:00;@TomViolins Did this driver think that the steps out of the car park were a road to drive down? Had the driver perhaps stopped for a straightener at the bar before proceeding? #carhelmets #baddrivers;BastieVelo;['carhelmets', 'baddrivers'];London;901;0;0;53904964;FALSE;Twitter for iPhone
